table,fieldName,description,dataType,units,parserToCreate,entryValidationRulesParser,entryValidationRulesForm
sls_soilMoisture,boatMass,"Mass of the weigh boat",real,gram,,"[GREATER_THAN(0)][LESS_THAN_OR_EQUAL_TO(100)]","[WARN][GREATER_THAN(0)][LESS_THAN_OR_EQUAL_TO(100)][REQUIRE]"
sls_soilMoisture,freshMassBoatMass,"Combined mass of a fresh sample and weigh boat",real,gram,,"[IF(moistureSampleFate!='lost'),REQUIRE][GREATER_THAN(boatMass)]","[WARN][GREATER_THAN(boatMass)]"
sls_soilMoisture,ovenStartDate,"The date and time a sample was placed in the drying oven",dateTime,NA,"[CONVERT_TO_UTC(namedLocation)]","[GREATER_THAN_OR_EQUAL_TO(collectDate-12hr)]","[DATE_FORMAT(YYYY-MM-DDTHH:MM)][GREATER_THAN_OR_EQUAL_TO(collectDate)]"
sls_soilMoisture,ovenEndDate,"The date and time a sample was removed from the drying oven",dateTime,NA,"[CONVERT_TO_UTC(namedLocation)]","[GREATER_THAN_OR_EQUAL_TO(ovenStartDate)]","[DATE_FORMAT(YYYY-MM-DDTHH:MM)][GREATER_THAN_OR_EQUAL_TO(ovenStartDate)]"
sls_soilMoisture,dryMassBoatMass,"Oven-dried mass of the sample and weigh boat",real,gram,,"[IF(moistureSampleFate!='lost'),REQUIRE][GREATER_THAN_OR_EQUAL_TO(boatMass)][LESS_THAN_OR_EQUAL_TO(freshMassBoatMass)]","[GREATER_THAN_OR_EQUAL_TO(boatMass)][LESS_THAN_OR_EQUAL_TO(freshMassBoatMass)]"
sls_soilMoisture,soilMoisture,"Gravimetric water content of soil in grams of water per gram dry soil",real,gramsPerGram,"((freshMassBoatMass-boatMass)-(dryMassBoatMass-boatMass))/(dryMassBoatMass-boatMass)",,
sls_soilMoisture,dryMassFraction,"Dry mass divided by fresh mass of a sample",real,NA,"(dryMassBoatMass-boatMass)/(freshMassBoatMass-boatMass)","[ASCII]",
sls_soilMoisture,smRemarks,"Remarks from measurement of sample gravimetric soil moisture",string,NA,,"[ASCII]","[ASCII]"
sls_soilMoisture,smMeasuredBy,"An identifier for the technician who measured or collected the soil moisture data",string,NA,,"[ASCII]","[FROM_PERSONNEL][SUGGESTED_ENTRY(previousValue)]"
sls_soilMoisture,recordedBy,"An identifier for the technician who recorded the data",string,NA,,"[ASCII]","[FROM_PERSONNEL][SUGGESTED_ENTRY(previousValue)]"
sls_soilMoisture,smDataQF,"Quality flag for soil moisture measurement",string,NA,,"[ASCII]",
sls_soilpH,uid,"Unique ID within NEON database; an identifier for the record",string,NA,"[CREATE_UID]",,
sls_soilpH,plotID,"Plot identifier (NEON site code_XXX)",string,NA,"[DERIVE_FROM_SAMPLE_TREE('sls_soilCoreCollection_in.sampleID')]","[NAMED_LOCATION_TYPE('OS Plot - bgc')]","[REQUIRE]"
sls_soilpH,horizon,"Organic or mineral soil",string,NA,,"[LOV]","[LOV]"
sls_soilpH,setDate,"Date that trap was set",dateTime,NA,"[DERIVE_FROM_SAMPLE_TREE('sls_soilCoreCollection_in.sampleID')]",,
sls_soilpH,collectDate,"Date of the collection event",dateTime,NA,"[DERIVE_FROM_SAMPLE_TREE('sls_soilCoreCollection_in.sampleID')]",,
sls_soilpH,processedDate,"Date or date and time of processing event",dateTime,NA,"[CONVERT_TO_UTC(namedLocation)]",,"[WARN][DATE_FORMAT(YYYY-MM-DDTHH:MM)][GREATER_THAN_OR_EQUAL_TO(collectDate)]"
sls_soilpH,sampleID,"Identifier for sample",string,NA,,"[EXISTS]","[REQUIRE]"
sls_soilpH,sampleFate,"Fate of a sample",string,NA,,"[LOV]","[HIDDEN][DEFAULT_TO('active')]"
sls_soilpH,sampleCode,"Barcode of a sample",string,NA,,,
sls_soilpH,pHSampleID,"Identifier for pH sample",string,NA,,"[DOES_NOT_EXIST][ASCII]","[DEFAULT_TO(sampleID + '-pH')]"
sls_soilpH,pHSampleFate,"Fate of pH sample",string,NA,,"[LOV]","[LOV( 'discarded', 'consumed', 'lost'][SUGGESTED_ENTRY('discarded')]"
sls_soilpH,pHSampleCode,"Barcode of pH sample",string,NA,,"[ASCII]",
sls_soilpH,samplingProtocolVersion,"The NEON document number and version where detailed information regarding the sampling method used is available; format NEON.DOC.######vX",string,NA,,"[LOV]","[REQUIRE][LOV]"
sls_soilpH,pHSoilInWaterMass,"Mass of soil used to analyze pH in water solution",real,gram,,"[GREATER_THAN_OR_EQUAL_TO(0)][LESS_THAN_OR_EQUAL_TO(100)]","[WARN][GREATER_THAN_OR_EQUAL_TO(0)][LESS_THAN_OR_EQUAL_TO(50)]"
sls_soilpH,pHWaterVol,"Volume of water used for pH measurement",real,milliliter,,"[GREATER_THAN_OR_EQUAL_TO(0)][LESS_THAN_OR_EQUAL_TO(100)]","[WARN][GREATER_THAN_OR_EQUAL_TO(0)][LESS_THAN_OR_EQUAL_TO(100)]"
sls_soilpH,soilInWaterpH,"pH value of soil measured in water solution",real,pH,,"[IF(pHSampleFate!='lost' AND IS_BLANK(soilInCaClpH)), REQUIRE][GREATER_THAN_OR_EQUAL_TO(2)][LESS_THAN_OR_EQUAL_TO(11)]","[GREATER_THAN_OR_EQUAL_TO(2)][LESS_THAN_OR_EQUAL_TO(11)]"
sls_soilpH,waterpHRatio,"Ratio of water to soil for pH measurement",real,NA,"[pHWaterVol/pHSoilInWaterMass]",,
sls_soilpH,pHSoilInCaClMass,"Mass of soil used to analyze pH in calcium chloride solution",real,gram,,"[GREATER_THAN_OR_EQUAL_TO(0)][LESS_THAN_OR_EQUAL_TO(100)]","[EQUALS(pHSoilInWaterMass)]"
sls_soilpH,pHCaClVol,"Volume of water used for CaCl measurement",real,milliliter,,"[GREATER_THAN_OR_EQUAL_TO(0)][LESS_THAN_OR_EQUAL_TO(100)]","[EQUALS(pHWaterVol+'vol of CaCl2 added')]"
sls_soilpH,soilInCaClpH,"pH value of soil measured in calcium chloride solution",real,pH,,"[IF(pHSampleFate!='lost'), REQUIRE][GREATER_THAN_OR_EQUAL_TO(2)][LESS_THAN_OR_EQUAL_TO(11)]","[IF(pHSampleFate!='lost'), REQUIRE][GREATER_THAN_OR_EQUAL_TO(2)][LESS_THAN_OR_EQUAL_TO(11)]"
sls_soilpH,caclpHRatio,"Ratio of calcium chloride to soil for pH measurement",real,NA,"[pHCaClVol/pHSoilInCaClMass]",,
sls_soilpH,pHRemarks,"Remarks from measurement of sample pH",string,NA,,"[ASCII]","[ASCII]"
sls_soilpH,pHMeasuredBy,"An identifier for the technician who measured or collected the pH data",string,NA,,"[ASCII]","[FROM_PERSONNEL][SUGGESTED_ENTRY(previousValue)]"
sls_soilpH,recordedBy,"An identifier for the technician who recorded the data",string,NA,,"[ASCII]","[FROM_PERSONNEL][SUGGESTED_ENTRY(previousValue)]"
sls_soilpH,pHDataQF,"Quality flag for pH measurement",string,NA,,"[ASCII]",
