#SampleID	Metaphlan2_Analysis
	44
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Microtrichales	10
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Microtrichales|f__	1
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Microtrichales|f__|g__	1
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Microtrichales|f__|g__|s__	1
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Microtrichales|f__Ilumatobacteraceae	6
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Microtrichales|f__Ilumatobacteraceae|g__	6
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Microtrichales|f__Ilumatobacteraceae|g__|s__	6
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Microtrichales|f__UBA8139	1
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Microtrichales|f__UBA8139|g__UBA4742	1
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Microtrichales|f__UBA8139|g__UBA4742|s__GCA_002403895.1	1
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Microtrichales|f__UBA9382	2
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Microtrichales|f__UBA9382|g__	2
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Microtrichales|f__UBA9382|g__|s__	2
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__UBA5794	82
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__UBA5794|f__	4
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__UBA5794|f__|g__	4
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__UBA5794|f__|g__|s__	4
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__UBA5794|f__Bin76	1
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__UBA5794|f__Bin76|g__	1
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__UBA5794|f__Bin76|g__|s__	1
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__UBA5794|f__UBA11373	17
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__UBA5794|f__UBA11373|g__	15
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__UBA5794|f__UBA11373|g__|s__	15
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__UBA5794|f__UBA11373|g__RBG-16-68-21	1
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__UBA5794|f__UBA11373|g__RBG-16-68-21|s__	1
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__UBA5794|f__UBA11373|g__UBA11373	1
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__UBA5794|f__UBA11373|g__UBA11373|s__	1
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__UBA5794|f__UBA4744	11
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__UBA5794|f__UBA4744|g__BMS3Bbin01	10
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__UBA5794|f__UBA4744|g__BMS3Bbin01|s__	10
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__UBA5794|f__UBA4744|g__UBA4744	1
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__UBA5794|f__UBA4744|g__UBA4744|s__	1
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__UBA5794|f__UBA5794	11
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__UBA5794|f__UBA5794|g__	10
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__UBA5794|f__UBA5794|g__|s__	10
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__UBA5794|f__UBA5794|g__UBA6912	1
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__UBA5794|f__UBA5794|g__UBA6912|s__	1
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__UBA5794|f__ZC4RG35	38
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__UBA5794|f__ZC4RG35|g__	33
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__UBA5794|f__ZC4RG35|g__|s__	33
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__UBA5794|f__ZC4RG35|g__MA-ANB-1	2
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__UBA5794|f__ZC4RG35|g__MA-ANB-1|s__	2
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__UBA5794|f__ZC4RG35|g__SZUA-217	3
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__UBA5794|f__ZC4RG35|g__SZUA-217|s__	3
d__Bacteria|p__Actinobacteriota|c__Actinobacteria	315
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__	3
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__|f__	3
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__|f__|g__	3
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__|f__|g__|s__	3
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Acidothermales	4
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Acidothermales|f__	4
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Acidothermales|f__|g__	4
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Acidothermales|f__|g__|s__	4
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales	135
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__	2
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__|g__	2
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__|g__|s__	2
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__UBA1383	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__UBA1383|s__	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Angustibacteraceae	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Angustibacteraceae|g__	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Angustibacteraceae|g__|s__	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Beutenbergiaceae	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Beutenbergiaceae|g__	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Beutenbergiaceae|g__|s__	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Brevibacteriaceae	2
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Brevibacteriaceae|g__Brevibacterium	2
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Brevibacteriaceae|g__Brevibacterium|s__	2
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Cellulomonadaceae	38
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Cellulomonadaceae|g__	3
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Cellulomonadaceae|g__|s__	3
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Cellulomonadaceae|g__Actinotalea	4
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Cellulomonadaceae|g__Actinotalea|s__	4
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Cellulomonadaceae|g__Cellulomonas	27
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Cellulomonadaceae|g__Cellulomonas|s__	14
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Cellulomonadaceae|g__Cellulomonas|s__GCF_001040865.1	13
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Cellulomonadaceae|g__Cellulosimicrobium	4
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Cellulomonadaceae|g__Cellulosimicrobium|s__	3
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Cellulomonadaceae|g__Cellulosimicrobium|s__Cellulosimicrobium cellulans_B	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Demequinaceae	7
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Demequinaceae|g__	6
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Demequinaceae|g__|s__	6
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Demequinaceae|g__Demequina_C	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Demequinaceae|g__Demequina_C|s__	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Dermabacteraceae	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Dermabacteraceae|g__Brachybacterium	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Dermabacteraceae|g__Brachybacterium|s__	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Dermatophilaceae	36
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Dermatophilaceae|g__	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Dermatophilaceae|g__|s__	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Dermatophilaceae|g__GCA-2748155	2
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Dermatophilaceae|g__GCA-2748155|s__	2
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Dermatophilaceae|g__Terracoccus	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Dermatophilaceae|g__Terracoccus|s__GCF_001429655.1	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Dermatophilaceae|g__Tetrasphaera_B	2
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Dermatophilaceae|g__Tetrasphaera_B|s__	2
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Dermatophilaceae|g__UBA4719	30
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Dermatophilaceae|g__UBA4719|s__	29
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Dermatophilaceae|g__UBA4719|s__GCA_002404345.1	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Kineosporiaceae	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Kineosporiaceae|g__	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Kineosporiaceae|g__|s__	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Microbacteriaceae	29
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Microbacteriaceae|g__	10
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Microbacteriaceae|g__|s__	10
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Microbacteriaceae|g__Cryobacterium	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Microbacteriaceae|g__Cryobacterium|s__	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Microbacteriaceae|g__Microbacterium	10
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Microbacteriaceae|g__Microbacterium|s__	9
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Microbacteriaceae|g__Microbacterium|s__Microbacterium sp7	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Microbacteriaceae|g__Salinibacterium	8
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Microbacteriaceae|g__Salinibacterium|s__	8
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae	16
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__	2
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__|s__	2
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Arthrobacter_E	2
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Arthrobacter_E|s__	2
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Enteractinococcus	2
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Enteractinococcus|s__	2
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Glutamicibacter	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Glutamicibacter|s__	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Pseudarthrobacter_A	5
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Pseudarthrobacter_A|s__	4
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Pseudarthrobacter_A|s__GCA_002413225.1	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Sinomonas	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Sinomonas|s__	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Yaniella	3
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Yaniella|s__	3
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Corynebacteriales	63
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae	34
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium	2
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium stationis	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Mycobacterium	22
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Mycobacterium|s__	20
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Mycobacterium|s__Mycobacterium kumamotonense	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Mycobacterium|s__Mycobacterium thermoresistibile	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Rhodococcus	9
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Rhodococcus|s__	7
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Rhodococcus|s__Rhodococcus qingshengii	2
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Tomitella	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Tomitella|s__	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Corynebacteriales|f__Cryptosporangiaceae	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Corynebacteriales|f__Cryptosporangiaceae|g__	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Corynebacteriales|f__Cryptosporangiaceae|g__|s__	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Corynebacteriales|f__Geodermatophilaceae	4
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Corynebacteriales|f__Geodermatophilaceae|g__	3
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Corynebacteriales|f__Geodermatophilaceae|g__|s__	3
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Corynebacteriales|f__Geodermatophilaceae|g__Geodermatophilus	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Corynebacteriales|f__Geodermatophilaceae|g__Geodermatophilus|s__	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Corynebacteriales|f__Jatrophihabitantaceae	3
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Corynebacteriales|f__Jatrophihabitantaceae|g__	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Corynebacteriales|f__Jatrophihabitantaceae|g__|s__	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Corynebacteriales|f__Jatrophihabitantaceae|g__Iso899	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Corynebacteriales|f__Jatrophihabitantaceae|g__Iso899|s__	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Corynebacteriales|f__Jatrophihabitantaceae|g__Jatrophihabitans	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Corynebacteriales|f__Jatrophihabitantaceae|g__Jatrophihabitans|s__	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Corynebacteriales|f__Micromonosporaceae	3
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Corynebacteriales|f__Micromonosporaceae|g__	2
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Corynebacteriales|f__Micromonosporaceae|g__|s__	2
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Corynebacteriales|f__Micromonosporaceae|g__Actinoplanes	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Corynebacteriales|f__Micromonosporaceae|g__Actinoplanes|s__	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Corynebacteriales|f__Nakamurellaceae	8
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Corynebacteriales|f__Nakamurellaceae|g__Nakamurella	8
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Corynebacteriales|f__Nakamurellaceae|g__Nakamurella|s__	8
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Corynebacteriales|f__Pseudonocardiaceae	10
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Corynebacteriales|f__Pseudonocardiaceae|g__	4
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Corynebacteriales|f__Pseudonocardiaceae|g__|s__	4
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Corynebacteriales|f__Pseudonocardiaceae|g__Haloechinothrix	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Corynebacteriales|f__Pseudonocardiaceae|g__Haloechinothrix|s__	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Corynebacteriales|f__Pseudonocardiaceae|g__Pseudonocardia	4
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Corynebacteriales|f__Pseudonocardiaceae|g__Pseudonocardia|s__	4
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Corynebacteriales|f__Pseudonocardiaceae|g__Saccharopolyspora	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Corynebacteriales|f__Pseudonocardiaceae|g__Saccharopolyspora|s__Saccharopolyspora rectivirgula	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Frankiales	17
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Frankiales|f__	3
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Frankiales|f__|g__	3
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Frankiales|f__|g__|s__	3
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Frankiales|f__Frankiaceae	14
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Frankiales|f__Frankiaceae|g__	14
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Frankiales|f__Frankiaceae|g__|s__	14
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Jiangellales	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Jiangellales|f__Jiangellaceae	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Jiangellales|f__Jiangellaceae|g__	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Jiangellales|f__Jiangellaceae|g__|s__	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Nanopelagicales	13
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Nanopelagicales|f__	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Nanopelagicales|f__|g__	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Nanopelagicales|f__|g__|s__	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Nanopelagicales|f__Nanopelagicaceae	12
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Nanopelagicales|f__Nanopelagicaceae|g__	6
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Nanopelagicales|f__Nanopelagicaceae|g__|s__	6
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Nanopelagicales|f__Nanopelagicaceae|g__AAA044-D11	5
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Nanopelagicales|f__Nanopelagicaceae|g__AAA044-D11|s__	5
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Nanopelagicales|f__Nanopelagicaceae|g__Planktophila	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Nanopelagicales|f__Nanopelagicaceae|g__Planktophila|s__	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Nitriliruptorales	2
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Nitriliruptorales|f__	2
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Nitriliruptorales|f__|g__	2
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Nitriliruptorales|f__|g__|s__	2
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Propionibacteriales	12
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Propionibacteriales|f__	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Propionibacteriales|f__|g__	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Propionibacteriales|f__|g__|s__	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae	2
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__|s__	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioides	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioides|s__	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae	9
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__	6
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__|s__	6
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__Cutibacterium acnes_A	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Microlunatus	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Microlunatus|s__	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Propionicimonas	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Propionicimonas|s__	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Streptosporangiales	65
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Streptosporangiales|f__	22
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Streptosporangiales|f__|g__	22
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Streptosporangiales|f__|g__|s__	22
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Streptosporangiales|f__Streptosporangiaceae	43
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Streptosporangiales|f__Streptosporangiaceae|g__	9
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Streptosporangiales|f__Streptosporangiaceae|g__|s__	9
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Streptosporangiales|f__Streptosporangiaceae|g__Thermobifida	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Streptosporangiales|f__Streptosporangiaceae|g__Thermobifida|s__Thermobifida fusca	1
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Streptosporangiales|f__Streptosporangiaceae|g__UBA8262	19
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Streptosporangiales|f__Streptosporangiaceae|g__UBA8262|s__	14
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Streptosporangiales|f__Streptosporangiaceae|g__UBA8262|s__UBA8262	5
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Streptosporangiales|f__Streptosporangiaceae|g__UBA9676	14
d__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Streptosporangiales|f__Streptosporangiaceae|g__UBA9676|s__	14
d__Bacteria|p__Actinobacteriota|c__Actinomycetia	1863
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__	19
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__|f__	19
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__|f__|g__	19
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__|f__|g__|s__	19
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Acidothermales	7
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Acidothermales|f__	3
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Acidothermales|f__|g__	3
