"table","fieldName","description","dataType","units","downloadPkg","pubFormat","primaryKey","categoricalCodeName"
"sls_soilCoreCollection","geneticArchiveSample5Code","Barcode of genetic archive subsample 5","string",NA,"basic","asIs","N",""
"sls_soilCoreCollection","geneticArchiveSamplePrepMethod","Preparation or preservation method for a genetic archive sample","string",NA,"basic","LOV","N","sls.geneticPreparation"
"sls_soilCoreCollection","biomassID","Identifier for biomass sample","string",NA,"basic","asIs","N",""
"sls_soilCoreCollection","biomassCode","Barcode of biomass sample","string",NA,"basic","asIs","N",""
"sls_soilCoreCollection","biomassSampleCondition","Condition of a biomass sample during storage or processing","string",NA,"basic","LOV","N","sls.geneticSampleCondition"
"sls_soilCoreCollection","remarks","Technician notes; free text comments accompanying the record","string",NA,"basic","asIs","N",""
"sls_soilCoreCollection","collectedBy","An identifier for the technician who collected the sample or specimen","string",NA,"basic","asIs","N",""
"sls_soilCoreCollection","dataQF","Data quality flag","string",NA,"basic","asIs","N",""
"sls_soilCoreCollection","publicationDate","Date of data publication on the NEON data portal","dateTime",NA,"appended by stackByTable",NA,"N",""
"sls_soilCoreCollection","release","Identifier for data release","string",NA,"appended by stackByTable",NA,"N",""
"sls_soilMoisture","uid","Unique ID within NEON database; an identifier for the record","string",NA,"basic","asIs","N",""
"sls_soilMoisture","domainID","Unique identifier of the NEON domain","string",NA,"basic","asIs","N",""
"sls_soilMoisture","siteID","NEON site code","string",NA,"basic","asIs","N",""
"sls_soilMoisture","plotID","Plot identifier (NEON site code_XXX)","string",NA,"basic","asIs","N",""
"sls_soilMoisture","namedLocation","Name of the measurement location in the NEON database","string",NA,"basic","asIs","N",""
"sls_soilMoisture","collectDate","Date of the collection event","dateTime",NA,"basic","yyyy-MM-dd'T'HH:mm'Z'(round)","N",""
"sls_soilMoisture","sampleID","Identifier for sample","string",NA,"basic","asIs","Y",""
"sls_soilMoisture","sampleCode","Barcode of a sample","string",NA,"basic","asIs","Y",""
"sls_soilMoisture","moistureSampleID","Identifier of moisture sample","string",NA,"basic","asIs","N",""
"sls_soilMoisture","samplingProtocolVersion","The NEON document number and version where detailed information regarding the sampling method used is available; format NEON.DOC.######vX","string",NA,"basic","LOV","N","sls.samplingProtocolVersion"
"sls_soilMoisture","horizon","Organic or mineral soil","string",NA,"basic","LOV","N","sls.horizon"
"sls_soilMoisture","ovenStartDate","The date and time a sample was placed in the drying oven","dateTime",NA,"basic","yyyy-MM-dd'T'HH:mm'Z'(round)","N",""
"sls_soilMoisture","ovenEndDate","The date and time a sample was removed from the drying oven","dateTime",NA,"basic","yyyy-MM-dd'T'HH:mm'Z'(round)","N",""
"sls_soilMoisture","boatMass","Mass of the weigh boat","real","gram","basic","*.###(round)","N",""
"sls_soilMoisture","freshMassBoatMass","Combined mass of a fresh sample and weigh boat","real","gram","basic","*.###(round)","N",""
"sls_soilMoisture","dryMassBoatMass","Oven-dried mass of the sample and weigh boat","real","gram","basic","*.###(round)","N",""
"sls_soilMoisture","soilMoisture","Gravimetric water content of soil in grams of water per gram dry soil","real","gramsPerGram","basic","*.###(round)","N",""
"sls_soilMoisture","dryMassFraction","Dry mass divided by fresh mass of a sample","real",NA,"basic","*.###(round)","N",""
"sls_soilMoisture","sampleCondition","Condition of a sample","string",NA,"basic","LOV","N","sls.moistureCondition"
"sls_soilMoisture","smRemarks","Remarks from measurement of sample gravimetric soil moisture","string",NA,"basic","asIs","N",""
"sls_soilMoisture","smMeasuredBy","An identifier for the technician who measured or collected the soil moisture data","string",NA,"basic","asIs","N",""
"sls_soilMoisture","smDataQF","Quality flag for soil moisture measurement","string",NA,"basic","asIs","N",""
"sls_soilMoisture","publicationDate","Date of data publication on the NEON data portal","dateTime",NA,"appended by stackByTable",NA,"N",""
"sls_soilMoisture","release","Identifier for data release","string",NA,"appended by stackByTable",NA,"N",""
"sls_soilpH","uid","Unique ID within NEON database; an identifier for the record","string",NA,"basic","asIs","N",""
"sls_soilpH","domainID","Unique identifier of the NEON domain","string",NA,"basic","asIs","N",""
"sls_soilpH","siteID","NEON site code","string",NA,"basic","asIs","N",""
"sls_soilpH","plotID","Plot identifier (NEON site code_XXX)","string",NA,"basic","asIs","N",""
"sls_soilpH","namedLocation","Name of the measurement location in the NEON database","string",NA,"basic","asIs","N",""
"sls_soilpH","collectDate","Date of the collection event","dateTime",NA,"basic","yyyy-MM-dd'T'HH:mm'Z'(round)","N",""
"sls_soilpH","processedDate","Date or date and time of processing event","dateTime",NA,"basic","yyyy-MM-dd'T'HH:mm'Z'(round)","N",""
"sls_soilpH","sampleID","Identifier for sample","string",NA,"basic","asIs","Y",""
"sls_soilpH","sampleCode","Barcode of a sample","string",NA,"basic","asIs","Y",""
"sls_soilpH","pHSampleID","Identifier for pH sample","string",NA,"basic","asIs","N",""
"sls_soilpH","samplingProtocolVersion","The NEON document number and version where detailed information regarding the sampling method used is available; format NEON.DOC.######vX","string",NA,"basic","LOV","N","sls.samplingProtocolVersion"
"sls_soilpH","horizon","Organic or mineral soil","string",NA,"basic","LOV","N","sls.horizon"
"sls_soilpH","soilInWaterpH","pH value of soil measured in water solution","real","pH","basic","*.##(round)","N",""
"sls_soilpH","soilInCaClpH","pH value of soil measured in calcium chloride solution","real","pH","basic","*.##(round)","N",""
"sls_soilpH","pHSoilInWaterMass","Mass of soil used to analyze pH in water solution","real","gram","basic","*.#(round)","N",""
"sls_soilpH","pHWaterVol","Volume of water used for pH measurement","real","milliliter","basic","*.#(round)","N",""
"sls_soilpH","waterpHRatio","Ratio of water to soil for pH measurement","real",NA,"basic","*.#(round)","N",""
"sls_soilpH","pHSoilInCaClMass","Mass of soil used to analyze pH in calcium chloride solution","real","gram","basic","*.#(round)","N",""
"sls_soilpH","pHCaClVol","Volume of water used for CaCl measurement","real","milliliter","basic","*.#(round)","N",""
"sls_soilpH","caclpHRatio","Ratio of calcium chloride to soil for pH measurement","real",NA,"basic","*.#(round)","N",""
"sls_soilpH","pHRemarks","Remarks from measurement of sample pH","string",NA,"basic","asIs","N",""
"sls_soilpH","pHMeasuredBy","An identifier for the technician who measured or collected the pH data","string",NA,"basic","asIs","N",""
"sls_soilpH","pHDataQF","Quality flag for pH measurement","string",NA,"basic","asIs","N",""
"sls_soilpH","publicationDate","Date of data publication on the NEON data portal","dateTime",NA,"appended by stackByTable",NA,"N",""
"sls_soilpH","release","Identifier for data release","string",NA,"appended by stackByTable",NA,"N",""
